     ;pais                            ;anos ;quantidade ;valor    ;origem ;tipo
1698 ;França                          ;2021 ;      7052 ;   23742 ;Brasil ;Vinhos de Mesa
1699 ;Gana                            ;2021 ;     12578 ;   19196 ;Brasil ;Vinhos de Mesa
1700 ;Gibraltar                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1701 ;Granada                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1702 ;Grécia                          ;2021 ;       908 ;    3014 ;Brasil ;Vinhos de Mesa
1703 ;Guatemala                       ;2021 ;     17347 ;   29100 ;Brasil ;Vinhos de Mesa
1704 ;Guiana                          ;2021 ;      2372 ;    6525 ;Brasil ;Vinhos de Mesa
1705 ;Guiana Francesa                 ;2021 ;        90 ;      32 ;Brasil ;Vinhos de Mesa
1706 ;Guine Bissau                    ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1707 ;Guine Equatorial                ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1708 ;Haiti                           ;2021 ;    670379 ;  831181 ;Brasil ;Vinhos de Mesa
1709 ;Honduras                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1710 ;Hong Kong                       ;2021 ;     12507 ;   39390 ;Brasil ;Vinhos de Mesa
1711 ;Hungria                         ;2021 ;        87 ;     583 ;Brasil ;Vinhos de Mesa
1712 ;Ilha de Man                     ;2021 ;        97 ;     445 ;Brasil ;Vinhos de Mesa
1713 ;Ilhas Virgens                   ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1714 ;India                           ;2021 ;        13 ;      86 ;Brasil ;Vinhos de Mesa
1715 ;Indonésia                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1716 ;Irã                             ;2021 ;       116 ;     287 ;Brasil ;Vinhos de Mesa
1717 ;Iraque                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1718 ;Irlanda                         ;2021 ;        36 ;     208 ;Brasil ;Vinhos de Mesa
1719 ;Itália                          ;2021 ;       696 ;    3715 ;Brasil ;Vinhos de Mesa
1720 ;Jamaica                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1721 ;Japão                           ;2021 ;     39491 ;   90275 ;Brasil ;Vinhos de Mesa
1722 ;Jordânia                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1723 ;Letônia                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1724 ;Líbano                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1725 ;Libéria                         ;2021 ;      7554 ;   23060 ;Brasil ;Vinhos de Mesa
1726 ;Luxemburgo                      ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1727 ;Macau                           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1728 ;Malásia                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1729 ;Malavi                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1730 ;Malta                           ;2021 ;      3441 ;   15454 ;Brasil ;Vinhos de Mesa
1731 ;Marshall, Ilhas                 ;2021 ;      8644 ;   22561 ;Brasil ;Vinhos de Mesa
1732 ;Martinica                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1733 ;Mauritânia                      ;2021 ;         9 ;      85 ;Brasil ;Vinhos de Mesa
1734 ;México                          ;2021 ;         9 ;       2 ;Brasil ;Vinhos de Mesa
1735 ;Moçambique                      ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1736 ;Montenegro                      ;2021 ;        14 ;      65 ;Brasil ;Vinhos de Mesa
1737 ;Namíbia                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1738 ;Nicarágua                       ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1739 ;Nigéria                         ;2021 ;     68247 ;  113172 ;Brasil ;Vinhos de Mesa
1740 ;Noruega                         ;2021 ;      1878 ;    8320 ;Brasil ;Vinhos de Mesa
1741 ;Nova Caledônia                  ;2021 ;      7227 ;   11924 ;Brasil ;Vinhos de Mesa
1742 ;Nova Zelândia                   ;2021 ;       657 ;   10477 ;Brasil ;Vinhos de Mesa
1743 ;Omã                             ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1744 ;Países Baixos                   ;2021 ;      3791 ;    8484 ;Brasil ;Vinhos de Mesa
1745 ;Palau                           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1746 ;Panamá                          ;2021 ;     29520 ;   48444 ;Brasil ;Vinhos de Mesa
1747 ;Paraguai                        ;2021 ;   6522527 ; 7192362 ;Brasil ;Vinhos de Mesa
1748 ;Peru                            ;2021 ;      9720 ;   17107 ;Brasil ;Vinhos de Mesa
1749 ;Pitcairn                        ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1750 ;Polônia                         ;2021 ;         4 ;      14 ;Brasil ;Vinhos de Mesa
1751 ;Porto Rico                      ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1752 ;Portugal                        ;2021 ;      6358 ;   42633 ;Brasil ;Vinhos de Mesa
1753 ;Quênia                          ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1754 ;Reino Unido                     ;2021 ;     25316 ;  122394 ;Brasil ;Vinhos de Mesa
1755 ;República Dominicana            ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1756 ;Rússia                          ;2021 ;    181931 ;  312926 ;Brasil ;Vinhos de Mesa
1757 ;São Cristóvão e Névis           ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1758 ;São Tomé e Príncipe             ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1759 ;São Vicente e Granadinas        ;2021 ;         8 ;      48 ;Brasil ;Vinhos de Mesa
1760 ;Senegal                         ;2021 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
1761 ;Serra Leoa                      ;2021 ;      6525 ;   12955 ;Brasil ;Vinhos de Mesa
1762 ;Singapura                       ;2021 ;      4504 ;   14346 ;Brasil ;Vinhos de Mesa
1763 ;Suazilândia                     ;2021 ;        10 ;      24 ;Brasil ;Vinhos de Mesa
1764 ;Suécia                          ;2021 ;        23 ;      74 ;Brasil ;Vinhos de Mesa
